"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),220,151,2018,9,14,18,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),870,99,2018,9,14,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,9,14,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1270,111,2018,9,14,19,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,300,152,2018,9,17,7,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),790,67,2018,9,17,8,0,Avenida João Paulo II,0,0
stationary traffic,Largo do Monte de Arcos,Avenida Padre Júlio Fragata,335,243,2018,9,17,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,480,806,2018,9,17,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,350,199,2018,9,17,9,0,Avenida da Liberdade,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),400,220,2018,9,17,16,0,Avenida da Liberdade,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),285,187,2018,9,17,17,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),600,30,2018,9,17,17,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1830,209,2018,9,17,18,0,Avenida João Paulo II,0,0
slow traffic,Avenida General Norton de Matos,Avenida Padre Júlio Fragata,565,142,2018,9,17,18,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,9,17,18,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,142,2018,9,17,18,0,Avenida Central,0,0
queuing traffic,Avenida Padre Júlio Fragata,São Vítor,460,160,2018,9,18,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,420,462,2018,9,18,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,250,203,2018,9,18,13,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),380,48,2018,9,18,15,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,142,2018,9,18,16,0,Avenida Central,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,350,261,2018,9,18,17,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vicente,320,125,2018,9,18,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),220,217,2018,9,18,18,0,Avenida da Liberdade,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,209,2018,9,18,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,460,369,2018,9,18,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,450,386,2018,9,19,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,760,390,2018,9,19,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,250,203,2018,9,21,13,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),400,173,2018,9,21,16,0,Avenida da Liberdade,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,230,118,2018,9,21,17,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),940,63,2018,9,21,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,350,292,2018,9,21,17,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,21,17,0,Avenida Central,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,21,18,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),2090,226,2018,9,21,18,0,Avenida João Paulo II,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,9,21,18,0,Avenida da Liberdade,0,0
queuing traffic,Rua do Caires,Rua Feliciano Ramos (N101),280,46,2018,9,21,18,0,Rua do Caires,0,0
slow traffic,Avenida General Norton de Matos,Avenida Padre Júlio Fragata,750,46,2018,9,21,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),860,75,2018,9,21,19,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),680,51,2018,9,23,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,760,276,2018,9,24,8,0,Rua Costa Gomes,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,360,174,2018,9,24,8,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Rua Nova de Santa Cruz,Avenida Dom João II,690,145,2018,9,24,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,24,15,0,Avenida Central,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,9,24,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida da Liberdade,Avenida João XXI (N103) / Rua Martins Sarmento,420,302,2018,9,24,17,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),460,267,2018,9,24,17,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1920,148,2018,9,24,17,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,250,158,2018,9,24,17,0,Rua Nova de Santa Cruz,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,300,333,2018,9,24,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João Paulo II,350,211,2018,9,24,18,0,Avenida João Paulo II,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),270,191,2018,9,24,18,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,24,18,0,Avenida Central,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,209,2018,9,24,19,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,24,19,0,Avenida Central,0,0
stationary traffic,Rua de Tourido / Rua da Nossa Senhora das Graças,Rua Costa Gomes,430,257,2018,9,24,19,0,Rua Costa Gomes,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1580,167,2018,9,24,19,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,280,310,2018,9,24,19,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1060,66,2018,9,25,8,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,257,2018,9,25,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,300,155,2018,9,25,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,330,149,2018,9,25,9,0,Avenida da Liberdade,0,0
slow traffic,Caminho de Lamas,Avenida Padre Júlio Fragata,670,90,2018,9,25,12,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,280,226,2018,9,25,13,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,25,15,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),775,52,2018,9,25,17,0,Avenida João Paulo II,0,0
stationary traffic,Rua da Lameira / Rua Manuel Fernandes Franqueira,Rua Nova de Santa Cruz,420,215,2018,9,25,17,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1540,206,2018,9,25,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,350,292,2018,9,25,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),680,26,2018,9,26,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vítor,465,193,2018,9,26,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,221,2018,9,26,8,0,Rua Costa Gomes,0,0
closed,Rua Costa Gomes,Cm1327 (N201),147,0,2018,9,26,10,0,Rua Costa Gomes,0,0
closed,Rua Costa Gomes,Cm1327 (N201),147,0,2018,9,26,11,0,Rua Costa Gomes,0,0
closed,Rua Costa Gomes,Cm1327 (N201),147,0,2018,9,26,12,0,Rua Costa Gomes,0,0
closed,Rua Costa Gomes,Cm1327 (N201),147,0,2018,9,26,13,0,Rua Costa Gomes,0,0
closed,Rua Costa Gomes,Cm1327 (N201),147,0,2018,9,26,14,0,Rua Costa Gomes,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),580,31,2018,9,26,17,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1750,162,2018,9,26,18,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vítor,600,159,2018,9,27,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,221,2018,9,27,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,300,242,2018,9,27,13,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),400,221,2018,9,27,16,0,Avenida da Liberdade,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,9,27,17,0,Avenida Central,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),270,191,2018,9,27,17,0,Avenida da Liberdade,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,209,2018,9,27,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,27,18,0,Avenida Central,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,260,147,2018,9,27,18,0,Avenida da Liberdade,0,0
slow traffic,N101,Avenida João Paulo II,520,48,2018,9,27,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,320,113,2018,9,27,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,380,140,2018,9,28,8,0,Avenida da Liberdade,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,790,283,2018,9,28,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,270,218,2018,9,28,12,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida da Imaculada Conceição (N14),Avenida da Liberdade,410,196,2018,9,28,14,0,Avenida da Liberdade,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1100,200,2018,9,28,16,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,360,235,2018,9,28,17,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),990,72,2018,9,28,17,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,360,228,2018,9,28,17,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,9,28,18,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1290,76,2018,9,28,19,0,Avenida João Paulo II,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,148,2018,9,29,11,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1010,74,2018,9,30,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,257,2018,10,1,8,0,Rua Costa Gomes,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida João Paulo II,260,129,2018,10,1,8,0,Avenida João Paulo II,0,0
stationary traffic,Rua da Lameira / Rua Manuel Fernandes Franqueira,Rua Nova de Santa Cruz,480,523,2018,10,1,8,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),680,34,2018,10,1,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,10,1,17,0,Avenida Central,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,280,126,2018,10,1,17,0,Avenida da Liberdade,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,440,484,2018,10,1,17,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),220,217,2018,10,1,18,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,142,2018,10,1,18,0,Avenida Central,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,122,2018,10,1,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,N101,1190,65,2018,10,1,18,0,Rua do Caires,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,410,207,2018,10,1,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Padre Júlio Fragata,Largo de Monte de Arcos,456,202,2018,10,2,8,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),630,36,2018,10,2,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,10,2,11,0,Avenida Central,0,0
stationary traffic,Rua da Lameira / Rua Manuel Fernandes Franqueira,Rua Nova de Santa Cruz,440,356,2018,10,2,17,0,Rua Nova de Santa Cruz,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,10,2,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,10,2,17,0,Avenida Central,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,320,200,2018,10,2,18,0,Avenida Central,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,410,256,2018,10,2,18,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida Dom João II,300,432,2018,10,2,18,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),350,254,2018,10,2,18,0,Avenida da Liberdade,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João Paulo II,350,211,2018,10,2,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,320,199,2018,10,2,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,440,183,2018,10,3,8,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,Rua Feliciano Ramos (N101),350,41,2018,10,3,8,0,Rua do Caires,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,690,215,2018,10,3,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua da Lameira / Rua Manuel Fernandes Franqueira,Rua Nova de Santa Cruz,420,719,2018,10,3,8,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),960,57,2018,10,3,8,0,Avenida João Paulo II,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,10,3,17,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,320,296,2018,10,3,17,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),700,34,2018,10,3,17,0,Avenida João Paulo II,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1460,193,2018,10,3,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,266,2018,10,3,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,380,172,2018,10,3,18,0,Avenida da Liberdade,0,0
stationary traffic,Rua Bernardo Sequeira / Rua Cândido de Oliveira,Avenida da Liberdade,400,416,2018,10,4,8,0,Avenida da Liberdade,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,230,98,2018,10,4,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,280,452,2018,10,4,16,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,430,212,2018,10,4,17,0,Avenida Central,0,0
slow traffic,N101,Avenida João Paulo II,1220,118,2018,10,4,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,490,106,2018,10,4,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua da Lameira / Rua Manuel Fernandes Franqueira,Rua Nova de Santa Cruz,460,284,2018,10,4,17,0,Rua Nova de Santa Cruz,0,0
stationary traffic,N101,Avenida João Paulo II,650,300,2018,10,4,18,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida João XXI (N103) / Rua Martins Sarmento,500,515,2018,10,4,18,0,Avenida da Liberdade,0,0
stationary traffic,Rua do Monte de Arcos,Avenida Padre Júlio Fragata,440,335,2018,10,4,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Álvaro,Rua Nova de Santa Cruz,250,198,2018,10,4,18,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua da Formigueira,Rua Costa Gomes,390,107,2018,10,4,18,0,Rua Costa Gomes,0,0
stationary traffic,Rua Álvaro,Rua Nova de Santa Cruz,250,263,2018,10,4,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida João Paulo II,Avenida Padre Júlio Fragata,515,484,2018,10,4,19,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,10,4,19,0,Avenida Central,0,0
queuing traffic,N101,Avenida João Paulo II,720,111,2018,10,4,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),270,272,2018,10,4,19,0,Avenida da Liberdade,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,360,186,2018,10,4,20,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vicente,270,298,2018,10,4,20,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),230,34,2018,10,5,18,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua nossa senhora esperanca,270,170,2018,10,6,16,0,Rua Costa Gomes,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),590,52,2018,10,6,18,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vítor,600,159,2018,10,8,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,257,2018,10,8,8,0,Rua Costa Gomes,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,400,181,2018,10,8,8,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),700,29,2018,10,8,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,330,188,2018,10,8,15,0,Avenida da Liberdade,0,0
queuing traffic,N101,Avenida João Paulo II,1130,116,2018,10,8,17,0,Avenida João Paulo II,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,370,235,2018,10,8,17,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),590,289,2018,10,8,18,0,Avenida Central,0,0
slow traffic,N101,Avenida João Paulo II,240,23,2018,10,8,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,209,2018,10,8,18,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,10,8,18,0,Avenida da Liberdade,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,260,133,2018,10,8,19,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua Capitão Alberto de Matos,Rua do Caires,240,189,2018,10,9,8,0,Rua do Caires,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,690,249,2018,10,9,8,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,260,110,2018,10,9,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,580,212,2018,10,9,9,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,260,211,2018,10,9,13,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,280,289,2018,10,9,16,0,Avenida da Liberdade,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,450,333,2018,10,9,17,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vicente,293,315,2018,10,9,17,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,N101,Avenida João Paulo II,550,85,2018,10,9,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,370,299,2018,10,9,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),220,349,2018,10,9,18,0,Avenida da Liberdade,0,0
stationary traffic,Rua Nova de Santa Cruz,Avenida João XXI / Rua Bernardo Sequeira,665,239,2018,10,9,18,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida Padre Júlio Fragata,Rua do Bairro Novo,650,206,2018,10,10,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,250,203,2018,10,10,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,400,181,2018,10,10,8,0,Avenida da Liberdade,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,303,2018,10,10,9,0,Rua Costa Gomes,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,370,300,2018,10,10,12,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,280,118,2018,10,10,17,0,Rua Nova de Santa Cruz,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),580,42,2018,10,10,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,280,208,2018,10,10,17,0,Avenida da Liberdade,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,300,259,2018,10,10,18,0,Avenida da Liberdade,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,10,10,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,703,352,2018,10,11,8,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),320,22,2018,10,11,8,0,Avenida João Paulo II,0,0
